Library1,Name1,Studbook1,Library2,Name2,Studbook2,Kinship,Group
AC1,Umi,7,AC2,Mana,17,0.048,Modern
AC1,Umi,7,AC3,Lanakila,75,0.001,Modern
AC1,Umi,7,AC4,HiwaHiwa,36,0,Modern
AC1,Umi,7,AC7,Kehau,41,0.013,Modern
AC1,Umi,7,AC8,Hiapo,74,0.067,Modern
AC1,Umi,7,CH10,Kahuli,79,0.002,Modern
AC1,Umi,7,CH11,Ulia,68,0,Modern
AC1,Umi,7,CH12,Lehua,81,0.002,Modern
AC1,Umi,7,CH13,Noe,58,0.003,Modern
AC1,Umi,7,CH14,Kelii,26,0.068,Modern
AC1,Umi,7,CH15,Konaku,71,0.109,Modern
AC1,Umi,7,CH16,Malama,39,0.023,Modern
AC1,Umi,7,CH1,Hoike,32,0.046,Modern
AC1,Umi,7,CH2,Kalani,27,0.141,Modern
AC1,Umi,7,CH3,Lokahi,38,0.017,Modern
AC1,Umi,7,CH4,Kolohe,25,0.004,Modern
AC1,Umi,7,CH5,Luukia,13,0,Modern
AC1,Umi,7,CH6,Hulu,80,0.008,Modern
AC1,Umi,7,CH7,Kehau,41,0,Modern
AC1,Umi,7,CH8,Eleele,69,0,Modern
